Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"4-picrylamino-1,2,3-triazole",,Unst. (N2 loss),C8H5N7O6,-67.8,1.719,382.3,185.0,5.05,7.203,223.8,4794.0,80.0,103.0,n1n[nH]cc1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-(3',5'-dinitrophenyl)-4-nitro-1,2,3-triazole",,Unst. (N2 loss),C8H4N6O6,-68.5,1.701,367.0,162.0,5.27,7.131,217.9,4623.0,52.0,56.0,n1c(cn(n1)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-(3',4'-dinitrophenyl)-4-nitro-1,2,3-triazole",,Unst. (N2 loss),C8H4N6O6,-68.5,1.701,403.8,162.0,5.4,7.175,220.6,4739.0,52.0,51.0,n1c(cn(n1)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"4,6-dinitro-1-picryl-benzotriazole",,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,478.4,240.0,5.46,7.415,242.5,5016.0,39.0,40.0,c1(c2c(cc(c1)[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-Picryl-5,7-dinitrobenzotriazole",BTX,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,455.3,240.0,5.41,7.396,241.3,4966.0,39.0,40.0,c1c(cc(c2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,5-dipicrylbenzo-[1,2-d:4,5-d']-bistriazole",,Unst. (N2 loss),C18H6N12O12,-74.2,1.768,894.1,319.0,5.27,7.139,223.6,4594.0,54.0,40.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,7-dipicrylbenzo-[1,2-d:4,5-d']-bistriazole",,Unst. (N2 loss),C18H6N12O12,-74.2,1.768,891.0,319.0,5.27,7.137,223.5,4589.0,54.0,38.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
5-picrylaminotetrazole,,Unst. (tetrazole),C7H4N8O6,-54.0,1.779,465.1,190.0,5.22,7.617,255.6,5454.0,64.0,36.0,n1nn[nH]c1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"5,6-dinitro-1-picryl-benzotriazole",,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,494.0,240.0,5.5,7.428,243.3,5051.0,39.0,35.0,c12cc(c(cc1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-picryl-4-picrylamino-1,2,3-triazole",,Unst. (N2 loss),C14H6N10O12,-60.0,1.759,532.1,294.0,5.4,7.4,239.5,5030.0,52.0,35.0,n1c(cn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-(3'-Amino-2',4',6'-trinitrophenyl)-1,2,3-triazole",,Unst. (N2 loss),C8H5N7O6,-67.8,1.729,411.3,179.0,5.17,7.274,229.0,4965.0,84.0,31.0,n1ccn(n1)c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
"4-nitro-1,2,3-triazole",,Unst. (N2 loss),C2H2N4O2,-42.1,1.74,278.7,83.0,5.56,7.976,276.5,6198.0,26.0,25.0,c1nn[nH]c1[N+](=O)[O-]
"2-Azido-1,3,5-trinitrobenzene",Picryl azide,Unst. (azide),C6H2N6O6,-44.1,1.758,419.1,168.0,5.81,7.743,262.2,5621.0,22.0,19.0,c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N=[N+]=[N-]
"5-Nitro-2-nitratomethyl-1,2,3,4-tetrazole",,Unst. (tetrazole),C2H2N6O5,0.0,1.844,296.8,122.0,6.33,9.021,366.2,7923.0,9.0,17.0,c1(nnn(n1)CO[N+](=O)[O-])[N+](=O)[O-]
Azidopentanitrobenzene,CL-16,Unst. (azide),C6N8O10,-9.3,1.921,545.2,225.0,6.65,8.889,364.1,7798.0,8.0,17.0,c1(c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N=[N+]=[N-]
1-Picrylbenzotriazole,,Unst. (N2 loss),C12H6N6O6,-101.8,1.643,480.4,183.0,4.88,6.372,170.3,3425.0,178.0,11.0,c1cccc2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-Picryl-1,2,3-triazole",,Unst. (N2 loss),C8H4N6O6,-68.5,1.701,422.3,162.0,5.46,7.196,221.9,4796.0,52.0,10.0,n1ccn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2-Diazo-4,6-dinitrophenol",DDNP,Unst.,C6H2N4O5,-60.9,1.721,191.5,141.0,5.13,7.123,219.0,4349.0,33.0,9.0,c1(c(cc(cc1[N+]#N)[N+](=O)[O-])[N+](=O)[O-])[O-]
HNFX,HNFX,Unst. (NF2),C6H8N8O4F8,-31.4,1.869,84.0,137.0,7.15,9.291,391.5,9579.0,10.0,8.0,C1(CN(CC(CN(C1)[N+](=O)[O-])(N(F)F)N(F)F)[N+](=O)[O-])(N(F)F)N(F)F
"3-Methyl-2-diazo-4,5,6-trinitrophenol",Me-NO2-DDNP,Unst.,C7H3N5O7,-50.5,1.747,221.4,173.0,5.55,7.527,246.8,5183.0,30.0,8.0,c1(c(c(c(c(c1[N+]#N)C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[O-]
"5-Chloro-2-diazo-4,6-dinitrophenol",5-Cl-DDNP,Unst.,C6HN4O5Cl,-45.8,1.819,206.4,148.0,4.64,7.244,234.2,4145.0,31.0,8.0,c1(c(c(c(cc1[N+]#N)[N+](=O)[O-])Cl)[N+](=O)[O-])[O-]
"4,4,8,8-Tetranitro-1,11-dinitrato-6-nitrazaundecane",,ONO2,C10H16N8O16,-38.1,1.624,-308.3,293.0,5.77,7.775,251.5,5836.0,34.0,87.0,N(N(=O)=O)(CCC(CCON(=O)=O)(N(=O)=O)N(=O)=O)CCC(CCON(=O)=O)(N(=O)=O)N(=O)=O
"Compound (21) in PEP 19,249 (1994)",,ONO2,C16H9N9O17,-52.1,1.727,277.2,346.0,5.8,7.567,247.7,5379.0,41.0,61.0,C(=C\c1c(cc(c(c1[N+](=O)[O-])N(CCO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"Compound (5) in PEP 19,249 (1994)",,ONO2,C8H9N7O9,-53.0,1.731,-39.4,231.0,4.91,7.534,245.9,5259.0,140.0,50.0,c1(c(c(c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-])NCCO[N+](=O)[O-]
"Compound (2) in PEP 19,249 (1994)",,ONO2,C12H15N9O15,-50.3,1.664,-138.0,328.0,5.37,7.554,241.2,5429.0,87.0,43.0,c1(c(c(c(c(c1[N+](=O)[O-])NCCO[N+](=O)[O-])[N+](=O)[O-])NCCO[N+](=O)[O-])[N+](=O)[O-])NCCO[N+](=O)[O-]
Nitrocellulose,NC,ONO2,C12H14N6O22,-24.2,1.852,-976.1,333.0,5.61,8.425,320.2,6756.0,41.0,39.0,O1C(C2C(C(C1OC1C(OC(C(C1O[N+](=O)[O-])O[N+](=O)[O-])O2)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-]
"3,5,5-trinitro-3-azahexyl nitrate",,ONO2,C5H9N5O9,-31.1,1.617,-143.4,168.0,5.87,7.904,259.2,6031.0,28.0,21.0,N(N(=O)=O)(CCON(=O)=O)CC(N(=O)=O)(C)N(=O)=O
"1,2,3-propanetriol trinitrate",,ONO2,C3H5N3O9,3.5,1.73,-295.4,146.0,5.92,8.507,313.4,6714.0,12.0,20.0,O(CC(ON(=O)=O)CON(=O)=O)N(=O)=O
"Compound (1) in PEP 19,249 (1994)",,ONO2,C10H10N8O14,-37.7,1.719,8.8,283.0,5.8,7.916,270.3,6045.0,36.0,20.0,c1(c(cc(c(c1[N+](=O)[O-])N(CCO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])NCCO[N+](=O)[O-]
"2,2-bis(nitroxymethyl)-1,3-propanediol dinitrate",PETN,ONO2,C5H8N4O12,-10.1,1.697,-380.3,192.0,6.23,8.401,302.0,6794.0,17.0,13.0,C(C(CON(=O)=O)(CON(=O)=O)CON(=O)=O)ON(=O)=O
"3-[N-(2,2,2-trintro-ethyl)nitramino]propyl nitrate",,ONO2,C5H8N6O11,-14.6,1.705,-77.6,200.0,6.3,8.438,305.6,6981.0,16.0,12.0,N(CCCON(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"1,9-dinitrato-2,4,6,8-tetranitrazanonane",,ONO2,C5H10N10O14,-3.7,1.742,-1.6,260.0,6.26,8.736,331.9,7395.0,11.0,10.0,O(CN(CN(CN(CN(CON(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"N-(2,2,2-trinitroethyl)-nitraminoethyl nitrate",,ONO2,C4H6N6O11,0.0,1.767,-44.5,193.0,6.56,8.852,343.7,7698.0,10.0,7.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CCON(=O)=O
Erythritol tetranitrate,ETN,ONO2,C4H6N4O12,5.3,1.751,-369.1,189.0,5.76,8.49,314.4,6605.0,11.0,6.0,O(CC(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
N-Nitro-N-methylformamide,,NNO2,C2H4N2O3,-46.1,1.484,-141.3,71.0,4.5,6.919,187.7,4056.0,118.0,320.0,CN(C=O)[N+](=O)[O-]
"1,7-dimethoxy-2,4,6-trinitrazaheptane",,NNO2,C6H14N6O8,-59.0,1.487,-197.2,170.0,5.11,7.124,199.2,4790.0,122.0,166.0,N(N(=O)=O)(CN(COC)N(=O)=O)CN(N(=O)=O)COC
"2,2-dinitropropanediol-bis-(5,5-dinitro-2-nitraza-hexanoate)",,NNO2,C13H18N10O20,-37.8,1.636,-793.9,356.0,5.03,7.494,234.8,5029.0,57.0,138.0,O(CC(N(=O)=O)(COC(=O)N(CCC(C)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)C(=O)N(CCC(N(=O)=O)(C)N(=O)=O)N(=O)=O
"N-methyl-N,N'-dinitro-1,2-ethanediamine",,NNO2,C3H8N4O4,-58.5,1.483,16.5,110.0,5.32,7.258,206.4,5108.0,69.0,114.0,N(N(=O)=O)CCN(N(=O)=O)C
"1,4-dinitroglycoluril",,NNO2,C4H4N6O6,-27.6,1.883,-60.6,142.0,4.6,8.131,301.2,5785.0,79.0,100.0,N1C(=O)N(C2C1N(C(=O)N2)[N+](=O)[O-])[N+](=O)[O-]
"N,N'-dinitro-N,N'-bis-(3-nitrazabutyl)-oxamide",,NNO2,C8H14N8O10,-54.4,1.556,-133.5,221.0,5.05,7.226,211.3,4845.0,79.0,90.0,N(CCN(C(=O)C(=O)N(N(=O)=O)CCN(C)N(=O)=O)N(=O)=O)(N(=O)=O)C
"2-Nitroimino-5-nitrohexahydro-1,3,5-triazine",,NNO2,C3H6N6O4,-42.1,1.722,187.5,127.0,5.17,7.987,275.5,6078.0,73.0,80.0,C1(=N[N+](=O)[O-])NCN(CN1)[N+](=O)[O-]
"N-(2,2-dinitrobutyl)-N-2,2-trinitro-1-butanamine",,NNO2,C8H14N6O10,-58.7,1.531,-112.6,199.0,5.56,7.275,211.9,5155.0,64.0,80.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)CC)CC(N(=O)=O)(CC)N(=O)=O
"N,N'-dimethyl-N,N'-dinitrooxamide",,NNO2,C4H6N4O6,-38.8,1.595,-199.8,126.0,4.8,7.32,220.4,4681.0,77.0,79.0,N(N(=O)=O)(C)C(=O)C(=O)N(N(=O)=O)C
"2,2,4,7,9,9-hexanitro-4,7-diazadecane",,NNO2,C8H14N8O12,-42.5,1.592,-82.0,233.0,5.7,7.663,241.2,5686.0,37.0,72.0,N(CCN(CC(N(=O)=O)(N(=O)=O)C)N(=O)=O)(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O
"Compound (16) in PEP 39,90 (2014)",,NNO2,C10H10N8O14,-37.7,1.726,-625.2,244.0,4.53,7.461,240.7,4751.0,88.0,63.0,N1(C(=O)N(C2(C1(N(C(=O)N2[N+](=O)[O-])[N+](=O)[O-])C(=O)OCC)C(=O)OCC)[N+](=O)[O-])[N+](=O)[O-]
",4,6,8-tetraazabicyclo[3.3.0]octane-3-one",HK-55,NNO2,C4H5N7O7,-21.3,1.847,76.3,151.0,5.38,8.477,323.6,6717.0,24.0,61.0,N1(CN(C2C1N(C(=O)N2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"N,N'-dinitro-N,N'-bis-[2-(nitroamino)ethyl]-1,2-ethanediamine",,NNO2,C6H14N8O8,-54.0,1.552,74.7,210.0,5.38,7.473,225.6,5438.0,54.0,53.0,C(CN(N(=O)=O)CCNN(=O)=O)N(N(=O)=O)CCNN(=O)=O
"2,2,6,9,9-pentanitro-4-oxa-5-oxo-6-azadecane",,NNO2,C8H12N6O12,-41.6,1.601,-482.3,218.0,5.03,7.382,224.7,4895.0,61.0,47.0,N(N(=O)=O)(CCC(C)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(C)N(=O)=O
"2,2,4,7,7,10,12,12-octanitro-4,10-diazatridecane",,NNO2,C11H18N10O16,-43.9,1.6,-144.4,304.0,5.68,7.638,240.5,5645.0,38.0,44.0,N(CCC(N(=O)=O)(N(=O)=O)CCN(N(=O)=O)CC(N(=O)=O)(C)N(=O)=O)(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O
trinitroethyl-2-methoxy-ethylnitramine,,NNO2,C5H9N5O9,-31.1,1.617,-140.5,168.0,5.88,7.907,259.5,6042.0,36.0,42.0,N(CCOC)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"N,N'-dinitro-N-[2-(nitroamino)ethyl]-1,2-ethanediamine",,NNO2,C4H10N6O6,-47.0,1.567,49.9,162.0,5.43,7.624,236.3,5630.0,46.0,39.0,N(N(=O)=O)CCN(N(=O)=O)CCNN(=O)=O
"2,2,5,7,7,9,12,12-octanitro-5,9-diazatridecane",,NNO2,C11H18N10O16,-43.9,1.6,-102.3,304.0,5.76,7.664,242.1,5721.0,38.0,37.0,N(CC(N(=O)=O)(CN(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)C)N(=O)=O)(CCC(N(=O)=O)(C)N(=O)=O)N(=O)=O
"N,N'-dinitro-N,N'-bis-(3,3-dintrobutyl)-oxamide-triazatetradecane",,NNO2,C10H14N8O14,-44.2,1.613,-366.2,267.0,5.18,7.431,228.8,5061.0,55.0,37.0,O=C(N(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)C)C(=O)N(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)C
"1,4,5,8-_x0090_tetranitro-hexahydropyrazino[2,3:b]piperazine",,NNO2,C6H10N8O8,-44.7,1.716,273.2,172.0,5.9,8.114,283.7,6693.0,30.0,35.0,N1(CCN(C2C1N(CCN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"N,N'-3,3-tetranitro-1,5-pentanediamine",,NNO2,C5H10N6O8,-39.7,1.613,-52.1,186.0,5.53,7.761,249.5,5784.0,37.0,35.0,N(CCC(N(=O)=O)(N(=O)=O)CCNN(=O)=O)N(=O)=O
"2,2,2-trinitroethyl-4-nitrazavalerate",,NNO2,C6H9N5O10,-33.4,1.631,-311.3,186.0,5.38,7.678,246.0,5431.0,47.0,35.0,N(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(CC)[N+](=O)[O-]
"N,N'-dinitro-1,2-ethanediamine",,NNO2,C2H6N4O4,-32.0,1.605,35.7,115.0,5.62,7.997,264.1,6156.0,33.0,34.0,N(N(=O)=O)CCNN(=O)=O
"2,4,6-Trinitrophenylmethylnitramine",Tetryl,NNO2,C7H5N5O8,-47.4,1.707,142.9,171.0,5.78,7.649,251.3,5563.0,38.0,32.0,c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N([N+](=O)[O-])C
cyclotetrametylene-tetranitramine,,NNO2,C4H8N8O8,-21.6,1.758,251.5,169.0,6.2,8.641,326.5,7483.0,16.0,29.0,C1N(CN(CN(CN1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"bis-(2,2,2-trinitroethyl)-3,6-dintraza-1,8-octanedioate",,NNO2,C10H12N10O20,-16.2,1.735,-637.5,347.0,5.44,8.115,285.7,5986.0,25.0,29.0,N(N(=O)=O)(CC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CCN(N(=O)=O)CC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"bis-(2,2,2-trinitroethyl)-4-nitraza-1,7-heptanedioate",,NNO2,C10H12N8O18,-24.0,1.703,-724.4,314.0,5.21,7.842,263.7,5503.0,36.0,29.0,N(N(=O)=O)(CCC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)CCC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
"N-(2,2-nitropropyl)-N,2,2-trinitro-1-propanamine",,NNO2,C6H10N6O10,-34.3,1.615,-106.9,186.0,5.82,7.825,253.9,5903.0,30.0,29.0,N(N(=O)=O)(CC(N(=O)=O)(N(=O)=O)C)CC(N(=O)=O)(C)N(=O)=O
cyclotrimethylene-trinitramine,RDX,NNO2,C3H6N6O6,-21.6,1.757,186.2,129.0,6.18,8.63,325.6,7452.0,16.0,26.0,N1(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O
"trinitroethyl-5,5-dinitro-3-nitrazahexanoate",,NNO2,C7H9N7O14,-17.3,1.712,-371.0,243.0,5.64,8.127,284.2,6116.0,24.0,25.0,O(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)CN(N(=O)=O)CC(C)(N(=O)=O)N(=O)=O
"Compound (15) in PEP 39,90 (2014)",,NNO2,C8H6N8O14,-18.3,1.82,-465.6,230.0,5.01,8.073,291.0,5712.0,43.0,25.0,N1(C(=O)N(C2(C1(N(C(=O)N2[N+](=O)[O-])[N+](=O)[O-])C(=O)OC)C(=O)OC)[N+](=O)[O-])[N+](=O)[O-]
"1,1,1,3,6,6,8,10,10,13,15,15,15-tridecanitro-3,8,13-triazapentadecane",,NNO2,C12H16N16O26,-12.0,1.753,108.0,458.0,6.4,8.609,323.5,7319.0,13.0,23.0,N(=O)(=O)C(N(=O)=O)(CN(CCC(CN(N(=O)=O)CC(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"2,2,2-trinitroethyl-2,5,5-trinitro-2-azahexanoate",,NNO2,C7H9N7O14,-17.3,1.712,-370.6,243.0,5.64,8.127,284.2,6116.0,24.0,22.0,O(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)N(N(=O)=O)CCC(N(=O)=O)(N(=O)=O)C
"N-nitro-N,N'-bis-(trinitropropyl)-urea",,NNO2,C7H9N9O15,-12.2,1.757,-177.1,280.0,5.87,8.422,310.1,6707.0,18.0,21.0,N(C(=O)NCCC(N(=O)=O)(N(=O)=O)N(=O)=O)(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"N-Methyl-2-amino-N,3,4,5,6-pentanitrotoluene",,NNO2,C8H6N6O10,-41.6,1.729,186.1,203.0,6.03,7.883,269.0,6048.0,35.0,21.0,c1(c(c(c(c(c1N(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"2,2,2-trinitroethyl-3,3-dinitrobutyl nitramine",,NNO2,C6H9N7O12,-19.4,1.692,-51.3,217.0,6.19,8.294,293.8,6716.0,17.0,20.0,N(CCC(N(=O)=O)(N(=O)=O)C)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
"Compound (2) in JOC 61,9340 (1996)",,NNO2,C6H8N8O8,-40.0,1.761,490.2,163.0,6.5,8.419,310.3,7485.0,22.0,19.0,C12C(C3C1N(CN3[N+](=O)[O-])[N+](=O)[O-])N(CN2[N+](=O)[O-])[N+](=O)[O-]
"1,1,1,3,6,9,12,14,14,14-decanitro-3,6,9,12-tetraza-tetradecane",,NNO2,C10H16N14O20,-19.6,1.709,177.2,377.0,6.28,8.416,304.4,7017.0,16.0,19.0,N(N(=O)=O)(CCN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O)CCN(N(=O)=O)CCN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
"1,1,1,18,18,18-hexanitro-3,16-dioxa-4,15-dioxo-5,8,11-14-tetranitrazaoctadecane",,NNO2,C12H16N14O24,-17.3,1.729,-451.1,429.0,5.68,8.219,292.4,6311.0,23.0,19.0,C(OC(=O)N(CCN(CCN(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
trinitroethyl-N-ethyl-N-nitro-carbamate,,NNO2,C5H7N5O10,-18.8,1.687,-328.2,179.0,5.45,7.989,272.1,5810.0,31.0,19.0,O(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)N(N(=O)=O)CC
"2,2,2-Trinitroethyl-2,4,6,6-tetranitro-2,4-diazaheptanoate",,NNO2,C7H9N9O16,-8.4,1.751,-282.5,277.0,5.87,8.434,310.3,6669.0,17.0,18.0,O=C(N(CN(N(=O)=O)CC(C)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
